event_id	이름	지역	기관	기업	튜터	인원 수	대상	목적	장소	교육 방식	교육 형태	시간	횟수	주차	내용
131.0	키오스크 사용법 안내	서울특별시 (구체적인 지역 명시 없음)	서울시	(명시 없음)	디지털 안내사 100명	(명시 없음)	어르신	키오스크 사용법 교육	영화관, 식당 등	오프라인	1:1 또는 소규모 그룹	(명시 없음)	(명시 없음)	(명시 없음)	키오스크 사용법
131.0	디지털 교육 버스	서울특별시 (구체적인 지역 명시 없음)	서울시	(명시 없음)	(명시 없음)	(명시 없음)	어르신	디지털 기기 사용 교육	경로당, 아파트 커뮤니티 등	오프라인	그룹	(명시 없음)	(명시 없음)	(명시 없음)	디지털 기기 사용법
131.0	디지털배움터	서울특별시 (구체적인 지역 명시 없음)	서울시	(명시 없음)	(명시 없음)	(명시 없음)	시민 누구나	디지털 역량 강화	주민센터, 복지관 등	오프라인	그룹	(명시 없음)	(명시 없음)	(명시 없음)	디지털 기초, 생활, 심화, 특별 과정
132.0	스마트폰·키오스크 활용 교육	충청북도 충주시	충주시노인복지관	없음	명시되지 않음	15명	스마트 기기 사용에 취약한 노인	스마트 기기(스마트폰, 키오스크) 활용 능력 향상	충주시노인복지관 (추정)	오프라인	그룹	명시되지 않음	1회	명시되지 않음 (11월 15일까지)	스마트폰과 키오스크 활용법
133.0	스마트한 노인(Know 人) 디지털 교육	충청북도 충주시 지현동	충주시노인복지관	충북사회복지공동모금회 지원	기사에 명시되지 않음	기사에 명시되지 않음	노인	디지털 기기 사용법 교육 및 정보격차 해소	충주시노인복지관 남부분관 내 디지털 공간	오프라인	그룹	기사에 명시되지 않음	기사에 명시되지 않음	기사에 명시되지 않음	다양한 유형의 키오스크 작동법, 태블릿PC 및 전자칠판 활용법 등
134.0	디지털 역량강화 교육	경기도 안산시 상록구	상록구 노인복지관, 본오종합사회복지관		(기사에 명시되지 않음)	(기사에 명시되지 않음)	지역 어르신 포함 정보취약계층	구민들의 다양한 디지털 활용능력 강화	(기사에 명시되지 않음, 집합, 방문, 온라인 다양한 방식)	집합, 방문, 온라인	(기사에 명시되지 않음)	(기사에 명시되지 않음)	(기사에 명시되지 않음)	(기사에 명시되지 않음)	기초(스마트기기·비대면화상솔루션 등), 생활(교통·금융·키오스크 등), 심화(경제·사회활동연계 개발) 등
135.0	찾아가는 디지털 체험교실	경기도 안산시 상록구 사동	안산시 상록구 사동 지역사회보장협의체		창의톡톡센터 전문강사, 사동협의체 위원	(명시되지 않음)	디지털 기기 사용에 어려움을 겪는 어르신	디지털 사회에서 소외되지 않고 편의 누리도록 지원	사동 소재 경로당 8곳	오프라인	그룹	(명시되지 않음)	(명시되지 않음)	9주 (9/28~10/18)	키오스크 이용법 (음식 주문, 병원 예약, 기차표 예매 등)
136.0	시니어 스마트폰 기초 수업	부산광역시 금정구 부곡3동	부곡3동 주민자치위원회			모집인원 마감	중·장년층 및 노년층	디지털기기 친숙하게 사용 가능하게 하고 마을 공동체 형성		오프라인	그룹			12주 (9월~12월)	스마트폰 기초 사용법, 사진 촬영 및 SNS 공유 방법
137.0	시니어 스마트폰 활용교육	전라북도 전주시 완산구 서신동	서신동 주민자치위원회	없음	김민정	30명	65세 이상 어르신	세대 간 정보격차 해소 및 어르신들의 스마트폰 활용도 향상을 통한 삶의 질 향상	전주시 서신동 동주민센터	오프라인	그룹	(시간 정보 없음)	(횟수 정보 없음)	(기간 정보 없음)	스마트폰 기능 이해 및 활용, 어플 설치, SNS 활용, 금융사기 예방
138.0															
139.0															
140.0	찾아가는 키오스크&안전교육 (1차)	경상남도 창원시 마산합포구 교방동	교방동행정복지센터, 주민자치회			51명	노인일자리 참여자	키오스크 활용 능력 향상 및 안전사고 예방	노산동민원센터 (추정)	오프라인	그룹				키오스크 이용 실습 (카페 음료 구입, 식당 주문 결제, 영화표 예매, 병원 접수/처방전 발급 등), 교통안전 교육
140.0	찾아가는 키오스크&안전교육 (2차)	경상남도 창원시 마산합포구 교방동	교방동행정복지센터, 주민자치회			47명	노인일자리 참여자	키오스크 활용 능력 향상 및 안전사고 예방	노산동민원센터 (추정)	오프라인	그룹				키오스크 이용 실습 (카페 음료 구입, 식당 주문 결제, 영화표 예매, 병원 접수/처방전 발급 등), 교통안전 교육
141.0	찾아가는 스마트폰 교실	부산광역시 남구 용호1동	용호1동 행정복지센터 주민자치회		(기사에 명시되지 않음)	(기사에 명시되지 않음)	관내 어르신	디지털 정보 격차 해소 및 안부 확인	관내 4개 경로당	오프라인	그룹	(기사에 명시되지 않음)	(기사에 명시되지 않음)	(기사에 명시되지 않음)	스마트폰 기능 사용법
142.0	어르신 스마트폰 특강	부산광역시 연제구 연산1동	연제구 연산1동 주민자치회	부산닷컴 (언급은 있으나, 제공 기업이라고 단정할 수는 없음)	기사에 명시되지 않음	기사에 명시되지 않음	어르신	디지털 격차 해소	기사에 명시되지 않음	오프라인	그룹	기사에 명시되지 않음	기사에 명시되지 않음	기사에 명시되지 않음	카카오톡 사용하기
143.0															
144.0	스마트폰 중급	서울특별시 도봉구 창동	창동어르신복지관	알 수 없음	알 수 없음	알 수 없음	노년층	디지털 격차 해소	창동어르신복지관	오프라인	그룹	알 수 없음	알 수 없음	알 수 없음	스마트폰 활용 (중급)
145.0															
146.0	디지털이음단	서울특별시	서울시50플러스재단		80명		서울시 노인복지시설 이용 장노년층	장노년층의 디지털 정보 격차 해소	서울시 전역 노인복지시설	오프라인	그룹 (1:2)		4~8회	6개월	스마트 기기 활용법 등 맞춤형 디지털 교육
147.0	스마트폰 및 키오스크 사용법 교육	서울특별시 서대문구	서대문구청, 노인복지관	없음	어르신 전문 디지털 교육 강사	500여 명	어르신	디지털 격차 해소	경로당	오프라인	1:1, 1:2, 그룹	불명	불명	불명	스마트폰 및 키오스크 사용법
148.0	어르신 디지털 교육 봉사 ‘With Change’	경기도	대한적십자사 경기도지사		대학 RCY 회원 24명	20명	어르신 (디지털 소외계층)	세대 간 소통 증진 및 디지털 활용 능력 향상, 디지털 피싱 사기 예방	(기사에 명시되지 않음)	오프라인	1:1	(기사에 명시되지 않음)	(기사에 명시되지 않음)	(기사에 명시되지 않음)	스마트폰 기본 사용 방법, 휴대전화 문자를 통한 피싱 사기 예방 방법 등
149.0															
150.0	노(老)두 할 수 있어효(孝)	인천광역시 부평구	부평구 노인복지관	신한은행	기사에 명시되지 않음	기사에 명시되지 않음	만 60세 이상 노인	디지털 소외 격차 해소, 모바일뱅킹 편리 사용 유도	부평구 노인복지관	오프라인	그룹	기사에 명시되지 않음	기사에 명시되지 않음	기사에 명시되지 않음	디지털 금융 교육 (모바일뱅킹 등 비대면 거래 방법)
151.0	어르신 스마트폰 활용 재능기부 및 교통안전 교육	충청남도 아산시 배방읍	호서대학교 카리타스봉사센터		호서대학교 재학생 (구체적인 강사명 언급 없음)	(기사에 명시되지 않음)	배방지역 대한노인회 어르신	스마트폰 활용 능력 향상 및 교통안전 의식 제고	(기사에 명시되지 않음)	오프라인	1:1	(기사에 명시되지 않음)	(기사에 명시되지 않음)	(기사에 명시되지 않음)	△스마트폰 기본 활용 방법 △모바일 인터넷 검색 △카카오톡 소통하기 △카메라와 갤러리 사용법 △무단횡단의 위험성 △횡단보도 보행 방법 △건널목에서의 ‘서다, 보다, 걷는다’ 등
152.0	어르신 1:1 키오스크교실	충청남도 천안시 동남구	호서대학교 제론테크연구센터, 카리타스봉사센터	㈜이앤오즈	게임소프트웨어학과 김경식 교수 외	기사에 명시되지 않음	정보화 취약계층 어르신	키오스크 활용 능력 향상	천안갈릴리교회	오프라인	1:1	기사에 명시되지 않음	기사에 명시되지 않음	기사에 명시되지 않음	키오스크 실습
153.0	디지털 세대공감 챌린지	서울특별시 영등포구 대림동	디지털동행플라자	-	청년	-	어르신	디지털 기기 및 프로그램 사용법 교육	디지털동행플라자	오프라인	그룹	-	1회/월	-	키오스크 주문, 열차 예매, 택시 호출, 유튜브 영상 제작, 디지털 드로잉, 온라인 방송 등
154.0															
155.0	디지털 역량강화 교육 사업	경기도, 서울특별시, 인천광역시, 대전광역시, 대구광역시, 경상남도	과학기술정보통신부, 한국지능정보화진흥원	에이럭스	문서에 명시되지 않음	월 3만 명, 연말까지 누적 20만 명	아동부터 시니어까지, 장애인, 다문화가정, 독거노인 등 소외계층 포함 전 국민	디지털 역량 강화	문서에 명시되지 않음	문서에 명시되지 않음	문서에 명시되지 않음	문서에 명시되지 않음	문서에 명시되지 않음	문서에 명시되지 않음	디지털 교육 (스마트폰 사용, 유튜브 채널 운영, 온라인 쇼핑몰 운영, 온라인 전시회 개최 등 포함, 인공지능과 메타버스 교육 포함)
156.0	찾아가는 키오스크 체험 특강	대구광역시 북구	북구청			35명	비문해·저학년 어르신	키오스크 사용법 교육을 통해 고령 소비자의 디지털 리터러시 향상 및 비대면 거래 어려움 해소	산격·가정·선린종합사회복지관 3개소	오프라인	그룹				패스트푸드·카페 주문, 기차표 예매, 병원 접수·수납, 무인 민원발급기 등 실생활 키오스크 사용 체험
157.0	경로당 어르신 정보화교육	대구광역시 북구	북구청			(명시되지 않음)	경로당 어르신	지역정보화 격차 해소 및 청렴문화 정착	경로당	오프라인	그룹	5분	(명시되지 않음)	(명시되지 않음)	스마트폰 및 키오스크 사용법 교육, 청렴 교육 동영상 시청
158.0	찾아가는 경로당 맞춤형 정보화교육	대구광역시 북구	북구청	-	-	6개 경로당 참여 어르신 (정확한 인원수 미제공)	경로당 어르신	정보화 교육	각 경로당	오프라인	그룹	-	10회	-	디지털 정보화 교육
158.0	찾아가는 디지털 강사단 운영	대구광역시 북구	북구청	-	50~65세 전산 자격증 소지 신중년	-	경로당 어르신 포함 정보 소외 계층	디지털 교육 및 정보격차 해소, 신중년 일자리 창출	신청자의 위치 (경로당 등)	오프라인	1대1 또는 그룹 (상황에 따라 다름)	-	연중	-	디지털 교육 및 상담
159.0	찾아가는 디지털 리터러시 특강	대구광역시 북구	대구 북구청		(기사에 명시되지 않음)	35명	3개 종합사회복지관의 비문해‧저학년 어르신	디지털 환경 적응 및 편리한 삶 영위 지원, 보이스피싱 예방	3개 종합사회복지관 (산격, 가정, 선린)	오프라인	그룹	(기사에 명시되지 않음)	(기사에 명시되지 않음)	(기사에 명시되지 않음)	키오스크 사용법(패스트푸드/카페 주문, 기차표 예매, 병원 접수 및 수납, 무인민원발급기 등), 보이스피싱 예방법
160.0	뇌톡톡, 뇌똑똑!	인천광역시 서구	서구노인복지관	SK인천석유화학 (후원)	신경과 전문의 및 인지중재치료 전문가가 개발한 프로그램	10명	지역 어르신	치매 예방	서구노인복지관	오프라인	그룹	(불명)	(불명)	12주	태블릿PC를 활용한 인지훈련, 영양교육, 운동, 혈관교육 등
161.0	정보화 무료 교육사업	전라북도	전라북도			1500명	장애인 및 55세 이상 노인	정보활용 수준 향상, 정보사회 참여 유도, 경제적 자립능력 향상, 세대간 정보격차 해소		오프라인	그룹			9개월	보이스피싱 예방, 키오스크 사용법, 디지털저작권교육 등
162.0	스마트폰 속 멋진 인생	전라북도 김제시	김제시 가족센터	없음	명시되지 않음	명시되지 않음	60세 이상 고령자	디지털 활용능력 향상 및 고령자세대 역량 강화, 정보 접근 격차 해소, 가족 및 사회적 유대감 증진	김제시 가족센터	오프라인	그룹	명시되지 않음	매주 화요일 1회	5주	스마트폰 기본 기능 이해, 스마트폰 사진 촬영 방법, 카카오톡 사용법, 줌 회의 방법, AI 활용 방법
163.0	스마트폰 앱 활용 예매 교육	서울특별시 용산구	서울시		동년배 시니어 강사 7명	명시되지 않음	60세 이상 어르신	스마트폰을 이용한 교통수단 예매 어려움 해소	용산역 내 렛츠코레일 여행센터 앞	오프라인	1대1	20~30분	명시되지 않음	3일(8일~10일)	스마트폰 앱 설치부터 회원가입, 예매실습과 취소
164.0	알기쉬운 스마트폰 교실	부산광역시 영도구 영선1동	영선1동 주민자치회				어르신	정보화 취약계층 대상 맞춤형 교육, 스마트폰 활용능력 향상		오프라인	그룹				스마트폰 기초 기능(배경화면, 벨소리 설정, 사진 찍기), SNS(카카오톡, 인스타그램, 네이버 밴드) 및 유튜브 활용법
165.0	어르신 스마트폰 교실	부산광역시 영도구 영선1동	영도구 영선1동 주민자치회				만 55세 이상 어르신	세대 간 정보격차 해소		오프라인	그룹				스마트폰의 편리한 기능 사용, 카메라 사용법과 갤러리 관리, 온라인 메신저 기능, 키오스크 사용법
166.0	스마트 시니어(스마트폰, 모바일 활용) 프로그램	부산광역시 영도구 봉래1동	영도구 봉래1동 행정복지센터	해당 정보 없음	해당 정보 없음	해당 정보 없음	지역 어르신	어르신들이 스마트 기기를 쉽고 편리하게 사용할 수 있도록 함. 스마트폰 기본 기능, 각종 앱 사용법, 키오스크 이용법 교육	해당 정보 없음	오프라인	그룹	해당 정보 없음	해당 정보 없음	해당 정보 없음	스마트폰 기본 기능, 각종 앱 사용법, 키오스크 이용법
167.0	어르신 전용 음성안내 키오스크 교육 앱 배포	서울특별시 서초구	서초구청				어르신	정보격차 해소	스마트폰	온라인	개별 학습				키오스크 사용법 교육 (무인민원발급, 패스트푸드, 영화관, 카페, 고속버스, ATM, KTX, 공항, 병원 등 9종)
167.0	AI로봇 활용 로봇교실 & 스마트시니어 IT스쿨	서울특별시 서초구	서초구청			60명 이내(10명 이내 소규모 그룹)	어르신	정보격차 해소, 디지털 역량 강화	6개 노인 복지시설 IT 전용 교육장	오프라인	그룹				AI 로봇 활용 교육, 스마트 시니어 IT 교육 (60개 과정)
167.0	찾아가는 키오스크 교육	서울특별시 서초구	서초구청		IT 서포터즈 29명	140개 경로당 어르신	어르신	정보격차 해소	140개 경로당	오프라인	그룹				키오스크 사용법 교육
168.0	어디나지원단 스마트폰 교육	서울특별시	서울디지털재단		어디나지원단 강사단 (노노케어 기반)	1만여 명	만 55세 이상 어르신	어르신 디지털 역량 강화 및 디지털 격차 해소	다양한 장소 (세부 정보 없음)	오프라인	그룹	세부 정보 없음	세부 정보 없음	3년	스마트폰 사용법 등 맞춤형 교육
169.0	에듀테크 캠퍼스(Edutech Campus)	서울특별시	서울디지털재단	(기업 명시 없음)	(강사 명시 없음)	(인원 수 명시 없음)	청소년부터 어르신까지	디지털 역량 강화	온라인	온라인	그룹 (명시적 언급은 없으나 시스템 특성상 그룹으로 추정)	(시간 명시 없음)	(횟수 명시 없음)	(기간 명시 없음)	디지털 역량 진단, 맞춤형 디지털 역량 강화 교육
170.0	디지털 문해교육	서울특별시 강남구	교육부, 국가평생교육진흥원		(기사에 명시된 강사 이름 없음)	(기사에 명시된 인원 없음)	어르신	디지털 결제 시스템 이용 능력 향상	패스트푸드점	오프라인	그룹	(기사에 명시된 시간 없음)	(기사에 명시된 횟수 없음)	(기사에 명시된 기간 없음)	디지털 결제 시스템 이용 방법 (키오스크 사용법 등)
170.0	디지털 결제 시스템 교육	강원도 강릉시	강릉시 평생학습원		(기사에 명시된 강사 이름 없음)	(기사에 명시된 인원 없음)	어르신	디지털 결제 시스템 이용 능력 향상	(기사에 명시된 장소 없음)	오프라인	그룹	(기사에 명시된 시간 없음)	(기사에 명시된 횟수 없음)	(기사에 명시된 기간 없음)	디지털 결제 시스템 이용 방법
170.0	스마트폰 활용 교육	서울특별시	서울디지털재단		(기사에 명시된 강사 이름 없음)	(기사에 명시된 인원 없음)	디지털 취약계층 (어르신 포함 추정)	디지털 소외 해소, 사회 참여 증진	(기사에 명시된 장소 없음)	(기사에 명시된 방식 없음)	(기사에 명시된 형태 없음)	(기사에 명시된 시간 없음)	(기사에 명시된 횟수 없음)	(기사에 명시된 기간 없음)	스마트폰 활용 방법
171.0	부민동 어르신 스마트폰 교실	부산광역시 서구 부민동	부민동 주민자치위원회				65세 이상 어르신			오프라인	그룹	8강		8주	스마트폰 사용법
172.0	스마트폰 교실	부산광역시 서구 아미동	아미동 주민자치회				어르신		아미동 주민센터	오프라인	그룹		8회	8주	스마트폰 사용법
173.0	똑똑해지는 이야기 – 어르신 스마트폰 교육	부산광역시 서구 서대신4동	서구종합사회복지관				어르신	지역 정보격차 해소와 문화복지 향상		오프라인	그룹			12	스마트폰 사용법
174.0	세대공감 스마트폰 기초교육	부산광역시 서구	서구청	없음	동의대학교 평생교육청소년상담학과 서포터즈 김효권 등	불명 (기사에 명시되지 않음)	디지털 기기에 익숙하지 않은 어르신	디지털 기기 원활한 사용능력 향상	서구평생학습관	오프라인	1대1	불명 (기사에 명시되지 않음)	불명 (기사에 명시되지 않음)	7주 (7월 31일까지 운영)	스마트폰 기초 사용법
175.0	광주 디지털리터러시 시니어 대학	광주광역시	(재)광주평생교육진흥원	(사)디지털리터러시교육협회	기사에 명시되지 않음	기사에 명시되지 않음	광주 거주 신중년 및 시니어	디지털 도구 활용 및 디지털 창작 활동 지원, 디지털 역량 강화, AI 중심의 '광주형 뉴딜' 이해	온라인	온라인 화상 교육	그룹 교육	기사에 명시되지 않음	기사에 명시되지 않음	3주 (7, 8, 9월 각 1주 과정)	7월: 디지털 소통(이모티콘 제작, 감정 분류), 8월: 디지털 명작 감상(구글 활용 가상/증강현실 미술관/박물관 관람), 9월: 디지털 창작(AI 웹서버 활용 미술/음악 창작)
176.0	광주 디지털리터러시 시니어 대학 ‘디지털 소통’ 교육	광주광역시	(재)광주평생교육진흥원		(강사명 정보 없음)	(인원 수 정보 없음)	광주에 거주하는 신중년 및 시니어	디지털 도구 활용 및 디지털 창작활동 지원, 세대 간 소통 증진	온라인	온라인	그룹	(시간 정보 없음)	(횟수 정보 없음)	7월 한 달	디지털 도구 활용(이모티콘, 움짤 제작), 비폭력대화(NVC), 세대공감, 건강한 커뮤니케이션 방법
177.0	스마트폰 및 컴퓨터 활용 교육	경기도 부천시	사회적협동조합 건강한 세상		김지민 감사 외	기사에 명시되지 않음	어르신 (정보 소외계층 포함)	스마트폰 및 컴퓨터 활용 능력 향상, 가족과의 소통 증진, 치매 예방, 사회 참여 증진	노인복지관 및  사회적협동조합 건강한 세상 시설	오프라인	그룹	기사에 명시되지 않음	기사에 명시되지 않음	기사에 명시되지 않음	스마트폰 기능 활용(SNS 이용, 사진 촬영 등), 컴퓨터 활용, 영상 촬영 및 편집
178.0	제24회 고령층 정보화 경연대회	부산광역시 등 전국 9개 지부	한국복지정보통신협의회			45명	고령층(평균 73세)	고령층의 디지털 역량 강화, 정보사회 참여기회 확대, 계층 간 정보격차 해소, 정보화교육 성과측정과 자기 성취감 제고	전국 9개 지부 교육장	오프라인	그룹				컴퓨터 기초, 스마트폰, 인터넷, 키오스크 사용법, 홈페이지·동영상 제작 등
179.0	어르신 맞춤형 정보통신기술(ICT) 교육	경기도 화성시	화성시동탄보건소	없음	기사에 명시되지 않음	25명	65세 이상 어르신 (사전 신청자)	스마트 기기 사용 능력 및 디지털 역량 향상, 건강관리 앱 활용	화성시동탄보건소 대강당	오프라인	그룹	기사에 명시되지 않음	기사에 명시되지 않음	기사에 명시되지 않음	스마트 기기(스마트폰) 사용법, 건강관리 앱('오늘건강' 앱), 카카오톡, 유튜브 등 앱 설치 및 사용법
180.0	강원 에듀버스 디지털 교육	강원도 동해시	과학기술정보통신부, 강원도	㈜ SLI평생교육원	기사에 명시되지 않음	기사에 명시되지 않음	강원도 동해지역 이동 접근성이 힘든 고령층 디지털 취약계층	디지털 역량 강화, 디지털 격차 해소, 삶의 질 향상	강원도 동해시 (찾아가는 교육)	오프라인	그룹	기사에 명시되지 않음	기사에 명시되지 않음	기사에 명시되지 않음	스마트폰 기본 활용, 디지털 피싱 예방 교육, 키오스크 교육 및 시뮬레이션 체험
181.0	2022년 디지털배움터 에듀버스 교육	강원도 동해시 묵호동	묵호노인종합복지관	SLI평생교육원 강원디지털배움터	(미상)	(미상)	어르신	디지털 역량 강화	묵호노인종합복지관	오프라인	그룹	(미상)	2회	1주	스마트폰·키오스크 기기 활용, 보이스피싱 예방 교육 등
182.0	디지털배움터 에듀버스 특강	강원도 동해시	SLI평생교육원 강원 디지털배움터		디지털 교육 전문강사	불명	묵호노인종합복지관 이용 어르신	디지털 역량 강화	묵호노인종합복지관	오프라인	그룹	불명	불명	불명	키오스크 등 디지털 기기 사용법
183.0	어르신 디지털 교육	서울특별시 25개 자치구	서울디지털재단	서울디지털재단	어디나지원단 소속 150명의 강사	4만8444명 (누적) /  미상(현재 진행중)	어르신	디지털 소외 해소, 디지털 역량 강화	서울시노인종합복지관협회 소속 25개 자치구 복지관 및 서울디지털재단 교육장	온라인 및 오프라인	그룹	미상	미상	미상	스마트폰 사용법, 키오스크 사용법 등
184.0	안산시 우리동네 디지털 배움터	경기도 안산시 상록구, 단원구 (읍면동 정보 미제공)	안산시	미제공	미제공	미제공	디지털 취약계층	디지털 시대 소외 방지 및 다양한 혜택 누리도록 지원	동 행정복지센터, 복지관, 경로당 등	온라인 및 오프라인 병행	그룹	미제공	미제공	미제공	컴퓨터 기초, 코딩, 발표자료 만들기, 스마트폰 활용, 금융, 정부24 공공서비스 이용, 일자리 연계 교육, 어업 관련 앱 활용 교육 등
185.0															
186.0															
187.0	시니어 정보화 교육	충청북도 충주시 교현동, 충청북도 충주시 지현동	충주시	없음	기사에 명시되지 않음	강좌별 12명 (총 288명 추정)	60세 이상 노인	스마트기기 활용 능력 향상	노인복지관 본관(교현동), 남부 분관(지현동)	오프라인, 온라인 병행 가능	그룹	2시간	2회	12주 (3개월)	컴퓨터 기초, 인터넷 활용, 스마트폰 활용, SNS, 스마트폰 사진/동영상 편집, 블로그/스마트스토어 활용, 한글 작품 만들기, 이미지 편집 등 24개 프로그램
188.0	찾아가는 경로당 디지털 역량교육	전라북도, 시/군(13개 시군),  경로당(30개소)	대한노인회 전북연합회 경로당광역지원센터	㈜케이티씨에스	전문 강사	30개소 경로당 어르신 (정확한 인원수는 명시되지 않음)	13개 시/군 지역 경로당 어르신	디지털 환경 적응 및 삶의 질 향상, 세대 간 소통 증진	30개소 경로당	오프라인	1대1	명시되지 않음	명시되지 않음	7개월	스마트폰 완전정복, 인터넷 활용과 검색, 화상회의 솔루션, SNS 활용, 모바일 교통/금융/쇼핑, 전자정부 및 공공서비스 이용 등
189.0	디지털 리터러시 교육	충청북도, 청주시, 흥덕구, 가경동	한국보건산업진흥원	문단에서 언급되지 않음	문단에서 언급되지 않음	문단에서 구체적인 인원수 언급되지 않음 (다만, 노인복지관 내 디지털 교육 이수자 중 참여자 모집)	어르신	스마트폰 앱, 키오스크 활용 등 디지털 리터러시 향상	청주 가경노인복지관	오프라인	1:1	문단에서 언급되지 않음	문단에서 언급되지 않음	문단에서 언급되지 않음	스마트폰 어플·키오스크 활용 등 디지털 리터러시 교육
190.0	찾아가는 키오스크 교육 (노노 교육)	서울특별시, 시/군(구체적인 지역 명시 없음)	서울시, 대한어머니회	없음	어르신 활동가 (전문 강사로부터 2달간 교육 수료)	40여 명	디지털 약자 어르신	키오스크 사용법 숙지 및 디지털 격차 해소	패스트푸드점 등 상점	오프라인	그룹	1회(시간 명시 없음)	1회	1주	키오스크를 이용한 메뉴 선택부터 결제까지 전 과정
191.0	시니어디지털금융교육	서울특별시 서초구 양재동	은행연합회	20개 국내 은행	시니어 강사 (36명 양성)	5129명	65세 이상 고령층	디지털 금융 이용 역량 강화 및 금융 사기 예방	노인복지기관 40개소, aT센터	오프라인	그룹	정보 미제공	320회 (총 교육 횟수)	4개월 (추정)	모바일뱅킹 사용법, 휴면계좌 찾기, 금리 비교조회, 금융사기 예방·대응법 등
191.0	시니어 강사 양성 교육	서울특별시 서초구 양재동	은행연합회	20개 국내 은행	정보 미제공	36명	준고령층	시니어 디지털 금융 교육 강사 양성	정보 미제공	오프라인 (추정)	그룹 (추정)	정보 미제공	정보 미제공	정보 미제공	시니어 디지털 금융 교육 강사 양성을 위한 교육
192.0	디지털 문해학습장 (스마트폰의 기본 기능 알기, 스마트폰과 카카오톡 기초, 스마트폰 중급, 스마트폰 첫걸음, 생활 속 유용한 스마트폰 활용, 도전 키오스크)	서울 금천구	금천구 평생학습관		주강사 및 보조강사	5~10명	어르신	디지털 사회 적응 지원	금천구 평생학습관	오프라인	그룹	2시간	6~8회	6개월 (5월~11월)	스마트폰 기본 기능, 카카오톡 사용법, 키오스크 활용법 등
192.0	디지털 문해학습장 (말랑말랑 두뇌교실, 키오스크 발달up, 스마트폰과 카카오톡 첫걸음, 미디어탐험단, 알기쉬운 바리스타 전문가 양성)	서울 금천구	금천장애인종합복지관		주강사 및 보조강사	5~10명	장애인 (발달장애인 포함)	디지털 사회 적응 지원	금천장애인종합복지관	오프라인	그룹	1~2시간	6~20회	6개월 (4월~10월)	한글, 키오스크 활용법, 스마트폰 및 카카오톡 사용법, 바리스타 전문 지식 등
193.0	키오스크 사용법 특강	충청북도 청주시 청원구 오창읍	오창읍 행정복지센터	없음	명시되지 않음	150명	지역 노인대학(즐거운청춘대학) 학생	키오스크 사용법 교육	행정복지센터	오프라인	그룹	명시되지 않음	명시되지 않음	명시되지 않음	키오스크 사용법 및 행정복지센터 무인발급기 이용 체험
194.0															
195.0	스마트폰 활용 교육	울산광역시 동구 방어동	울산 동구 방어동 주민자치위원회	없음	(미상)	20명	경로당 이용 어르신	스마트폰 활용 방법 교육, 디지털 격차 해소	방어휴먼시아 경로당, 문현지구 경로당, 동진경로당	오프라인	그룹	(미상)	(미상)	(미상)	편리하고 간편한 스마트폰 활용 방법
196.0	스마트폰 활용 교육	울산광역시 동구 방어동	방어동 주민자치위원회	없음	기사에 언급되지 않음	30여 명	주민자치위원, 경로당 이용 어르신	어르신들의 일상생활 업그레이드 및 디지털 격차 해소	방어진노인복지관, 엘크루경로당, 문현지구경로당, 휴먼시아경로당	오프라인	그룹	기사에 언급되지 않음	기사에 언급되지 않음	기사에 언급되지 않음	간편한 스마트폰 활용법
197.0	스마트폰 활용 교육	울산광역시 동구 전하1동	울산 동구 전하1동 주민자치위원회	없음	기사에 명시되지 않음	20명	퇴직자 및 어르신	퇴직자 및 어르신의 삶의 질 향상	기사에 명시되지 않음	오프라인	그룹	기사에 명시되지 않음	매주 월요일	2월~6월 (총 몇 주인지는 명시되지 않음)	스마트폰 활용법
198.0															
199.0	스마트기기 활용법 교육	울산광역시 북구 호계동	안전보건공단		안전보건공단 IT 전문가	(불명)	지역 고령층	디지털 격차 해소, 스마트기기 활용능력 향상	울산시 북구 노인복지회관 시니어스마트센터	오프라인	1:1	(불명)	2회	(불명)	키오스크, 스마트폰 사용법 (무인민원발급, 음식 주문, 교통편 예약 등 실습 포함)
200.0	디지털 교육	대구광역시 북구	북구노인복지관	없음	없음	불명	정보 소외계층 어르신	일상생활 속 디지털 기기 활용 능력 향상	북구노인복지관 (추정)	오프라인	그룹	불명	불명	불명	태블릿 PC, 키오스크 작동법, 스마트폰 교육 등
200.0	부키 디지털 멘토	대구광역시 북구	대구 북구 4개 노인복지관 연합 (강북·북구·대불·함지 노인복지관)	없음	없음	불명	정보소외계층 어르신	어르신들의 일상생활 속 디지털 역량 강화, 디지털 역량 격차 해소	북구 내 경로당	오프라인	그룹	불명	불명	5개월 (7월~11월 추정)	스마트폰 활용 중심 교육
201.0	시니어를 위한 키오스크 교육	충청남도 천안시 서북구 불명	천안시 쌍용도서관	없음	불명	불명	시니어	급변하는 디지털 사회에서 디지털 기기 및 키오스크 사용에 어려움을 겪는 시니어들의 디지털 역량 강화	쌍용도서관	오프라인	그룹	불명	불명	불명	키오스크의 필요성 및 키오스크 사용법, 어플리케이션을 통한 키오스크 사용법
